Team1,Team2,Map,Result
All Gamers,Wolves Esports,Bind,1
All Gamers,Wolves Esports,Haven,0
TYLOO,Titan Esports Club,Sunset,1
TYLOO,Titan Esports Club,Haven,0
TYLOO,Titan Esports Club,Lotus,1
JDG Esports,Xi Lai Gaming,Bind,0
JDG Esports,Xi Lai Gaming,Ascent,0
Titan Esports Club,Nova Esports,Sunset,1
Titan Esports Club,Nova Esports,Haven,0
Titan Esports Club,Nova Esports,Abyss,0
TYLOO,Dragon Ranger Gaming,Bind,0
TYLOO,Dragon Ranger Gaming,Lotus,0
T1,ZETA DIVISION,Haven,1
T1,ZETA DIVISION,Ascent,1
T1,ZETA DIVISION,Sunset,0
T1,ZETA DIVISION,Bind,1
ZETA DIVISION,DetonatioN FocusMe,Ascent,0
ZETA DIVISION,DetonatioN FocusMe,Sunset,1
ZETA DIVISION,DetonatioN FocusMe,Haven,1
Wolves Esports,Xi Lai Gaming,Abyss,1
Wolves Esports,Xi Lai Gaming,Bind,1
Rex Regum Qeon,T1,Ascent,0
Rex Regum Qeon,T1,Icebox,0
JDG Esports,All Gamers,Haven,0
JDG Esports,All Gamers,Bind,1
JDG Esports,All Gamers,Sunset,0
Sentinels,Cloud9,Lotus,0
Sentinels,Cloud9,Bind,0
EDward Gaming,Team Heretics,Haven,0
EDward Gaming,Team Heretics,Sunset,1
EDward Gaming,Team Heretics,Lotus,1
EDward Gaming,Team Heretics,Bind,0
EDward Gaming,Team Heretics,Abyss,1
LEVIATÁN,Team Heretics,Icebox,0
LEVIATÁN,Team Heretics,Sunset,0
LEVIATÁN,Team Heretics,Abyss,1
LEVIATÁN,Team Heretics,Lotus,0
Team Heretics,Sentinels,Haven,0
Team Heretics,Sentinels,Icebox,1
Team Heretics,Sentinels,Abyss,1
EDward Gaming,LEVIATÁN,Icebox,0
EDward Gaming,LEVIATÁN,Lotus,1
EDward Gaming,LEVIATÁN,Abyss,1
Team Heretics,DRX,Abyss,0
Team Heretics,DRX,Sunset,1
Team Heretics,DRX,Icebox,1
Sentinels,FNATIC,Sunset,1
Sentinels,FNATIC,Bind,0
Sentinels,FNATIC,Lotus,1
LEVIATÁN,Team Heretics,Icebox,1
LEVIATÁN,Team Heretics,Lotus,1
Sentinels,EDward Gaming,Haven,1
Sentinels,EDward Gaming,Lotus,0
Sentinels,EDward Gaming,Sunset,0
G2 Esports,FNATIC,Haven,0
G2 Esports,FNATIC,Bind,0
DRX,Trace Esports,Lotus,1
DRX,Trace Esports,Abyss,1
Team Heretics,FNATIC,Lotus,1
Team Heretics,FNATIC,Abyss,1
G2 Esports,LEVIATÁN,Icebox,0
G2 Esports,LEVIATÁN,Abyss,0
Trace Esports,EDward Gaming,Bind,0
Trace Esports,EDward Gaming,Sunset,0
DRX,Sentinels,Sunset,0
DRX,Sentinels,Haven,0
EDward Gaming,Paper Rex,Icebox,0
EDward Gaming,Paper Rex,Sunset,1
EDward Gaming,Paper Rex,Lotus,1
LEVIATÁN,Team Vitality,Icebox,1
